I0226 05:41:54.938494   14838 serve.go:43] cloudcode_cli (Jan 21 2025 17:43:36 -0800, cl:718125841 baseline:716751907)
I0226 05:41:55.079857   14838 configuration.go:282] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0226 05:41:55.079889   14838 configuration.go:284] Configured settings for canCancelRequests: true
I0226 05:41:55.079899   14838 configuration.go:286] Configured settings for contextPromptOpts: &{Endpoint:}
W0226 05:41:55.080669   14838 configuration.go:290] Failed to retrieve verboseLogging: configuration value not is not a string: false
W0226 05:42:43.809469   14838 server.go:633] unknown method "$/setTrace"
I0226 05:42:43.820957   14838 configuration.go:182] product updateChannel will be used
W0226 05:42:43.820996   14838 configuration.go:792] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0226 05:42:43.821007   14838 configuration.go:792] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0226 05:42:43.821032   14838 configuration.go:642] language thresholds: map[]
I0226 05:42:43.821048   14838 configuration.go:600] dataFileExtensions array: [.csv .tsv .jsonl]
I0226 05:42:43.821069   14838 configuration.go:845] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0012b5831 StopSequences:map[] DataFilePromptLines:0}
I0226 05:42:43.821108   14838 configuration.go:845] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0012b5841 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0226 05:42:43.821143   14838 configuration.go:270] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0226 05:42:43.821156   14838 configuration.go:278] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false}
I0226 05:42:43.821165   14838 configuration.go:282] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0226 05:42:43.821193   14838 configuration.go:284] Configured settings for canCancelRequests: true
I0226 05:42:43.821202   14838 configuration.go:286] Configured settings for contextPromptOpts: &{Endpoint:}
W0226 05:42:43.822392   14838 configuration.go:290] Failed to retrieve verboseLogging: configuration value not is not a string: false
W0226 05:42:43.822418   14838 configuration.go:792] ignoring configuration value "ragl.maxFileSearchDepth" with type int, need float64
W0226 05:42:43.822432   14838 configuration.go:792] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0226 05:42:43.822439   14838 configuration.go:792] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0226 05:42:46.395696   14838 handler.go:159] cancel was requested for: 1, needs to be canceled: false
I0226 05:42:46.395711   14838 handler.go:163] cancel requested for 1 but not found
